place,태그
남광주시장,광주를 대표하는 수산물 도·소매시장 2024_여행가는달과함께하는_발도장여행지 가족과함께 남광주시장 쇼핑
대인시장(광주),예술과 야시장이 함께하는 광주의 전통시장 2024_여행가는달과함께하는_발도장여행지 가족여행 광주대인시장 광주시장
(전)광주 성거사지 오층석탑,성거산 거북머리 형상의 돌출된 지형 위에 우뚝 솟은 고려시대 탑 고려석탑 관광지 광주서오층석탑 광주성거사지오층석탑 보물 서오층석탑
광주실내빙상장,"스포츠와 여가, 교육이 어우러진 공간 광주가볼만한곳 레포츠 복합문화공간 빙상장 스케이트장 스포츠 여가시설"
만귀정,"효우공 장창우가 후학을 가르치던 곳, 만귀정 가족여행 관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화관광"
청춘발산마을,함께 꿈꾸는 토양이 있는 마을 2024_여행가는달과함께하는_발도장여행지 INFP상상여행 가족과함께
광주 양동시장,5·18민주화 운동을 함께한 호남최대 재래시장 2024_여행가는달과함께하는_발도장여행지 가족여행 광주시장 광주양동시장
광주호 호수생태원,도심 속 자연 학습의 장 2022친환경추천여행지 2024_여행가는달과함께하는_발도장여행지 가족여행
광주지산동오층석탑,통일 신라 후기의 5층 석탑 관광지 광주동오층석탑 광주여행 광주오층석탑 역사 역사공부 역사를품은곳
구시청사거리,불야성을 이루는 청춘들의 문화공동구역 관광지 광주구시청사거리 광주다문화음식 광주맛집 광주음식공방 광주폴리
5·18 민주광장,대한민국 민주화운동의 상징 2024_여행가는달과함께하는_발도장여행지 5.18민주화운동 5·18민주화운동
[무등산 옛길 3구간] 장원삼거리환벽당,
예술의거리 개미장터,문화와 예술이 어우러지는 광주의 명소 가족여행 개미장터 기차여행 나들이 나홀로여행 데이트코스 쇼핑
금남지하도상가,광주 시민에게 사랑받는 각종 의류 및 대규모 쇼핑공간 광주쇼핑 광주여행 광주지하상가 남녀노소 쇼핑 쇼핑거리 의류 지하상가
현충탑(광주),한국전쟁 호국영령들의 높은 뜻 기리는 광주공원 현충탑 관광지 광주공원현충탑 광주탑 광주현충탑 아이와함께 안보여행 역사공부
광주 3·1 만세운동 기념비,수피아 여고생의 넋을 기리는 비 3.1만세운동기념비 3.1만세운동기념탑 3·1운동_100주년_여행지추천 3·1운동여행지
양림동 선교사 묘지,"구국 운동과 개화의 마중물, 기독교 선교사 묘역 2024_여행가는달과함께하는_발도장여행지 관광지 광주선교사묘역 근대유적"
사직공원(광주),나라의 안녕과 풍년을 기원하던 장소 2024_여행가는달과함께하는_발도장여행지 가족여행 걷기여행 관광지
양송천묘역,조선시대의 유력한 가문의 묘제를 이해하는 데 중요한 자료 가족여행 관광지 광주 광주양송천묘역 양반묘 양송천묘역 역사 역사공부
양림동 호랑가시나무길,광주 근대문화를 느낄 수 있는 호젓한 산책길 2024_여행가는달과함께하는_발도장여행지 가볼만한곳 관광지 광주광역시기념물
호가정,조선 중·명종대의 문신 설강 유사가 지은 정자 경치좋은곳 관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재
양씨삼강문,양산숙 일가 7명의 충효열을 기리는 정려문 관광지 광주양씨삼강문 역사 역사공부 역사관광지 역사를품은곳 역사문화재
용아생가,김수철의 노래 나두야 간다 의 시인 용아 박용철선생이 태어난 초가집 관광지 광주박용철생가 광주용아생가 나두야간다 박용철 박용철문학상
용진정사,호남 의병 활동의 본거지 관광지 광주용진정사 광주정사 교과서속여행 문화재 역사 역사공부
뒹굴동굴,일제강점기 반공호 지하시설이 근대 유적지로 관광지 광주동굴 근대역사탐방 동굴탐방 반공호 양림역사문화마을 일제강점기동굴
충장사,임진왜란 의병장인 충장공 김덕령을 배향하는 사당 관광지 광주사당 광주충장사 교과서체험 김덕령사당 문화관광해설사
광주 우치공원 동물원,"꿈과 희망, 아름다운 추억이 있는 곳 겨울방학가볼만한곳 관광지 광주우치공원 광주우치공원동물원 놀이동산&테마파크"
고씨삼강문,"장흥고씨 1충, 3효, 2열, 1절의 7인을 기리기 위한 정려문 고씨삼강문 고씨정려문 관광지 광주고씨삼강문 광주광역시기념물 광주삼강문"
양림역사문화마을,시간의 길목에서 예술을 만나는 곳 19_20한국관광100선 2024_여행가는달과함께하는_발도장여행지 23_24한국관광100선
1913송정역시장,과거와 현대가 공존하는 1913송정역시장 1913송정역시장 2024_여행가는달과함께하는_발도장여행지 INFP낭만여행
4·19 민주혁명역사관,4·19 민주혁명 발상지에서 대한민국 민주주의의 뿌리를 알아가다 419혁명 광주민주주의 광주여행 문화시설 민주주의 실내관광지 실내여행
무등산수박마을,무등산 자락에 위치한 푸랭이수박 마을 관광지 광주무등산수박마을 광주수박마을 농촌마을 농촌여행 농촌체험마을
빛고을농촌테마공원,농업 문화를 체험할 수 있는 도심 속 작은 힐링 공간 가족과함께 곤충박물관 관광지 광주여행 광주체험 빛고을농촌테마공원
광주 북구문화원,광주 문화를 계승하는 문화원 광주북구 광주시 광주역사문화 문화시설 복합문화공간 북구문화원 열린문화공간
광주 수완호수공원,특별한 추억으로 기억되는 수완호수공원 가족과함께 걷기여행 걷기여행길 관광지 광주여행 로맨틱_야경 아이와함께
광주 의재미술관,의재 허백련 선생의 작품과 그의 정신을 느낄 수 있는 곳 기차여행 나홀로여행 문화시설 미술관 예술 의재미술관 전라권 전시관
광주 충효동 요지,삼강청자·분청사기·백자를 굽던 곳 관광지 광주충효동요지 교과서속여행 역사 역사공부 역사를품은곳 역사속
광주패밀리랜드,"사랑이 가득한 꿈의 놀이동산, 광주패밀리랜드 2024_여행가는달과함께하는_발도장여행지 가족과함께 관광지 광주패밀리랜드"
비움박물관,광주광역시의 유일한 사립 민속박물관 가볼만한곳 광주동구 문화시설 민속박물관 박물관 비움박물관 역사
우제길미술관,"한국 추상미술의 거장, 우제길의 빛과 색이 담긴 예술세계 광주동구미술관 광주미술관 광주우제길 광주우제길미술관 기차여행 데이트코스"
우일선 선교사 사택,한국 근대 건축의 흐름을 느끼다 2024_여행가는달과함께하는_발도장여행지 가족여행 관광지 광주광역시기념물
은암미술관,예술인들이 새로운 문화를 창출하는 도시 속 미술관 광주 문화시설 미술관 전시
서강사,파평윤씨 시조부터 6대에 걸친 인물들이 배향되어 있는 사당 관광지 광주사당 광주서강사 역사 역사공부 역사관광지 역사를품은곳
소잉(에이핸즈협동조합),소잉을 통한 즐거움과 행복을 전하는 곳 관광두레 관광두레_주민사업체 관광지 광주_관광두레 굿즈 실내관광지
컬러브릿지협동조합,근대 의상을 체험할 수 있는 곳 관광두레 관광두레_주민사업체 관광지 광주 광주_관광두레 광주_체험
약사암(광주),새인봉 기슭에 자리 잡은 고즈넉한 사찰 관광지 불교 불교문화 불교사찰 사찰 사찰여행 역사 자연속으로
드영미술관,무등산 국립공원 초입에 자리한 대중과 함께하는 미술관 가볼만한곳 광주 광주미술관 드영미술관 문화시설 문화예술 미술관
남도향토음식박물관,남도지역의 향토음식과 남도인의 전통을 모두 담은 전시관 2024_여행가는달과함께하는_발도장여행지 광주향토음식박물관 기념품판매
송호영당,눌재 박상과 사암 박순을 모시는 곳 관광지 송호영당 역사 역사공부 역사관광지 역사를품은곳 역사문화재
포충사,금산전투에 참전한 의병장 고경명의 사당 가족여행 고경명 관광지 광주포충사 교과서속여행 문화관광해설사 사당
5·18 자유공원,인권·평화·화합의 상징으로 기억될 역사의 현장 2024_여행가는달과함께하는_발도장여행지 5.18자유공원 518공원 518민주화공원
대인예술시장 한평갤러리,전통시장 내 설치된 정식 갤러리 시설 가볼만한곳 갤러리 광주동구 대인예술시장 문화시설 문화예술 전시
무등산국립공원,광주와 전남의 진산이자 호남정맥의 중심 산줄기 21_22한국관광100선 23_24한국관광100선 25_26한국관광100선 가족과_함께
무등산 주상절리대,화산용암이 빚어낸 희귀하고 신비한 절경의 바위기둥 2024_여행가는달과함께하는_발도장여행지 관광지 광주명산 광주산행
무등산 정상3봉 (무등산 국가지질공원),"무등산 최고봉(해발 1,187m)의 주상절리대를 만나보자 ! 경치좋은곳 관광지 국가지질공원 남녀노소 등산 무등산 무등산권_국가지질공원"
무등산 풍혈,여름에 서늘한 바람이 겨울에 따뜻한 바람이 나오는 구멍 관광지 국가지질공원 등산 등산객 무등산 무등산권_국가지질공원 자연
시무지기 폭포 (무등산권 국가지질공원),세 개의 무지개가 뜨는 신비로운 비경의 폭포 경치좋은곳 관광지 광주폭포 국가지질공원 무등산 무등산권 무등산권_국가지질공원
서석대 (무등산권 국가지질공원),"웅장하게 뻗은 200개의 돌기둥, 서석대 2024_여행가는달과함께하는_발도장여행지 경치좋은곳 관광지 국가지질공원"
장불재 (무등산권 국가지질공원),무등산의 주상절리를 한눈에 바라볼 수 있는 장소 경치좋은곳 관광지 국가지질공원 무등산 무등산권_국가지질공원 산책하기좋은곳
입석대 (무등산권 국가지질공원),무등산의 대표 절경 2024_여행가는달과함께하는_발도장여행지 경치좋은곳 관광지 국가지질공원
덕산너덜 (무등산권 국가지질공원),무등산의 대표적인 너덜 경치좋은곳 관광지 국가지질공원 무등산 무등산권_국가지질공원 자연
윤필봉 자연동굴 (무등산권 국가지질공원),무등산 윤필봉 꼭대기에서 만나는 천연동굴 관광지 국가지질공원 동굴여행 무등산 무등산권_국가지질공원 자연
신선대와 억새평전 (무등산권 국가지질공원),오각형 내지 육각형의 돌기둥으로 구성된 주상절리대 경치좋은곳 관광지 국가지질공원 등산 무등산 무등산권_국가지질공원
의상봉 (무등산권 국가지질공원),중생대 백악기 후기 미문상화강암으로 구성되어 있는 의상봉 관광지 국가지질공원 무등산 무등산권_국가지질공원 사진찍기 사진찍기좋은곳
백마능선 (무등산권 국가지질공원),말의 잔등을 닮은 지형 위 억새의 모습이 백마의 갈기와 비슷한 백마능선 경치좋은곳 관광지 국가지질공원 등산 무등산 무등산권_국가지질공원
증심사 계곡 안산암질용암,용암 분출에 따른 다양한 화성암체의 산 지질 교육장 경치좋은곳 관광지 국가지질공원 무등산 무등산권_국가지질공원 사진찍기
증심사(광주),"철감선사 도윤이 창건한 사찰, 무등산의 대표적인 불교 도량 2024_여행가는달과함께하는_발도장여행지 가족여행 관광지 광주증심사"
새인봉 (무등산권 국가지질공원),무등산의 대표적인 암석돔지형 경치좋은곳 관광지 국가지질공원 등산 무등산 무등산권_국가지질공원
원효사(광주),무등산에서 불법의 이치를 이미 엿보았을 원효대사를 품은 고찰 2024_여행가는달과함께하는_발도장여행지 가족여행 고찰 관광지 광주사찰
오방 최흥종 기념관,근대 광주의 아버지 오방 최흥종선생을 기리는 기념관 광주남구 기념관 문화시설 아이와함께 역사 역사문화 최흥종기념관
고싸움놀이테마파크,영상으로 체험하는 고싸움놀이 가족과함께 가족나들이 고싸움놀이 관광지 나들이장소 놀이동산 테마파크
광주 전통문화관,자랑스러운 남도 문화를 전수하다 가볼만한곳 광주동구 문화관광해설사 문화시설 문화예술 전통문화관
광주향교,전통의 향이 그대로 살아있는 향교 관광지 광주향교 교과서속여행 수도권 역사 역사공부 역사관광지
광주학생독립운동기념회관,광주학생독립운동의 정신을 함양하고자 설립한 도서관&기념관 3·1운동_100주년_여행지추천 가족여행 광주기념관 광주학생독립운동기념회관
국립 5·18 민주묘지,"1980년 군부에 반대하여 일어난 시민 저항운동, 민주주의 씨앗이 되다 2024_여행가는달과함께하는_발도장여행지 5.18민주묘지 518민주화운동"
광주 충장로 케이팝 스타의 거리,K-POP 아이돌 가수의 발자취를 알 수 있는 곳 BTS K-POP K-POP스타거리 관광지 광주 광주가볼만한곳 한류
광주극장,1935년부터 시작된 광주의 예술&독립영화관 광주 광주극장 독립영화 문화시설 영화 영화관 예술영화
운암시장,광주광역시 북구 운암동에 있는 운암시장 가보고싶은시장 고삼구이 먹거리특화시장 쇼핑 운암삼합 운암시장 월간_사진_제보_이벤트
광주기아 챔피언스 필드,
꿈브루어리,광주 전통주를 만나볼 수 있는 민간 예술 여행 플랫폼 가볼만한곳 관광지 광주 광주동구 양조장 이색체험 전통주
동리단길 카페거리,광주 핫플레이스로 떠오르는 거리 2024_여행가는달과함께하는_발도장여행지 가족과함께 관광지 동명동
우산월곡시장,없는 게 없어 가볍게 장보기 좋은 시장 가볍게장보기 광주전통시장 쇼핑 우산월곡시장 음식포토존
월곡 고려인 문화관 결,고려인의 역사를 한 눈에 보는 전시관 가족과함께 고려인역사 기획전시 당일치기여행 문화시설 역사 전시
윤상원열사 생가,‘시대의 들불’ 윤상원 열사의 생가 5·18민주화운동 관광지 광주 광주_여행지_추천 광주가볼만한곳 광주권
제봉산 마법의 숲 체험원,아이들의 꿈과 희망이 자라나는 숲 놀이터 관광지 광주_여행지_추천 광주가볼만한곳 광주권 광주남구 숲놀이터
광주천 벚꽃길,따사로운 햇살 아래 봄의 시작을 알리다 걷기좋은길 관광지 광주_여행지_추천 광주가볼만한곳 광주권 광주천
리아트센터,다채로운 예술의 향연 광주가볼만한곳 광주갤러리 광주미술관 문화시설 미술관 보이차 상설전시
솔로몬로파크,법무부가 운영하는 국내 최초 법교육 테마공원 law파크 관광지 광주무료체험 광주솔로몬로파크 광주실내놀이터 법놀이터
소촌아트팩토리,문화재생사업을 통해 거듭난 새로운 문화예술영토 광주무료전시 광주소촌팩토리 광주전시 문화시설 문화예술 소촌팩토리
기분좋은극장,N차 관람을 부르는 작지만 에너지 넘치는 MZ세대 소극장 광주기분좋은극장 광주소극장 광주연극공연 광주이색데이트 문화시설
광주광역시국제양궁장,광주시민도 즐길 수 있는 국제 규모의 양궁장 광주국제양궁장 광주양궁체험 국제규모양궁장 국제양궁장 기보배양궁장
창작농성골,옛 주택가에 불어온 새바람 벚꽃이야기 길 되다 관광지 광주농성골 광주벚꽃길 광주벽화 광주창작농성골 꽃길벽화 농성골
어등산승마클럽,도심에서 가까운 승마체험장 가족승마체험 광주승마장 광주승마체험 레포츠 산정동승마장 승마레슨
광산문화예술회관,따뜻한 문화바람이 부는 곳 공연 광주광산구 대관 문화 문화시설 문화예술공간 예술교육
광주광역시미디어아트플랫폼 GMAP,예술과 삶의 연결을 주도하는 곳 gmap VR체험 광주gmap 광주미디어아트플랫폼 디지털아트 문화시설
효천물빛노닐터,하수처리장에서 주민친화 시설로의 새로운 변신 관광지 광주축구장 광주환경공단 광주효천물빛노닐터 물빛노닐터 하수처리견학
맥문동숲길,주민들이 손수 가꾼 쾌적한 보랏빛 휴식공간 가을산책로 관광지 광주맥문동 광주맥문동숲길 광주사진명소 광주핫플
제4수원지,아는 사람만 안다는 무등산 자락의 시크릿 가든 관광지 광주4수원지 광주저수지 광주제4수원지 무등산청품쉼터 무등산탐방
5·18기념문화센터,5·18 광주민주화운동의 정신을 기리는 복합 문화시설 5.18 5·18민주화운동 광주518기념문화센터 광주공연장 광주다크투어
광주광역시공연마루,시민들이 일상에서 공연을 즐길 수 있는 문화의 장 광주공연마루 광주공연장 광주세계광엑스포 광주야경 광주야경가볼만한곳
빛고을공예창작촌,작가들과 함께하는 다양한 공예 체험 공간 공예창작 공예체험 관광지 광주공예교육 광주공예작가 빛고을창작촌
송산목장,"도심속 작은 제주, 송산목장 관광지 광주양떼목장 데이트코스 송산승마스쿨 승마체험 양떼목장 카페양말"
너릿재옛길,계절마다 색다른 걷기 좋은 명품 숲길 걷기좋은숲길 관광지 광주벚꽃길 광주숲길 광주옛길 너릿재 판치
국제롤러스케이트,"화려한 조명, 신나는 음악과 롤러스케이트를 즐겨보자 광주롤러스케이트 광주롤러장 광주인라인스케이트 레포츠 롤러장 수완지구롤러스케이트"
동구인문학당,"근대 가옥, 인문학으로 다시 태어나다 광주근대가옥 광주동구사랑방 광주인문학 광주인문학당 문화시설 인문학프로그램"
풍암정,원효 계곡위에 지어진 단풍과 바위가 어우러진 수려한 정자 관광지 광주가볼만한곳 광주계곡 단풍나무숲길 원효계곡 정자 풍암정사
우산수영장,광주 북구 주민들을 위한 공공스포츠 건강복지타운 광주문화강좌 광주북구수영장 레포츠 문화프로그램 문화프로그램 수영강좌
조아라기념관,"여성, 평화, 인권 민주화 운동의 선구자 믿음의 딸 조아라 광주YWCA 광주박물관 기념관 문화시설 여성인권운동 예술문화 조아라선생"
루트머지,국악으로 소통하는 사회적 기업 가야금 광주국악기업 국악 국악공연 국악프로그램 문화시설 사회적기업
수완인라인롤러경기장,광주에 위치한 국제 규모의 인라인·롤러스케이트 경기장 광주인라인스케이트 레포츠 롤러경기장 롤러스케이트강습 스포츠경기
Yun Marbling,물 위에서 자유롭게 만들어지는 아름다움을 경험할 수 있는 곳 관광두레 관광두레_주민사업체 관광지 광주_관광두레 아이와함께 이색체험
예술공간집,50년 된 옛 한옥을 개조해 만든 소규모 복합예술공간 광주 문화시설 복합예술공간 아트클래스 전시
호랑가시나무 아트폴리곤,다면적인 사고로 접근하는 모든 문화 활동을 허용하는 복합문화공간 광주가볼만한곳 광주남구 문화시설 문화예술 문화활동 복합문화공간
여행자의 집,컨텐츠형 관광안내소이자 여행자 복합문화 공간인 여행자의 zip! 관광안내소 광주 광주동구 문화시설 복합문화공간 여행자 편의공간
시리단길,MZ세대가 사랑하는 광주 핫플레이스 2024_여행가는달과함께하는_발도장여행지 SNS속핫플레이스 가볼래터
KJB금융박물관 (광주은행 금융박물관),호남지역 최초의 금융전문박물관 가볼만한곳 광주 금융박물관 문화시설 박물관 역사 전시
요담엔,광주 전통주 힐링 공방 가볼만한곳 관광지 광주 광주북구 막걸리 이색체험 전통주
드림피플엔터,실내에서 스키 체험 및 교육을 받을 수 있는 곳 가볼만한곳 광주남구 레포츠 스키장 실내레포츠 실내스키장 체험공간
빛고을국악전수관,국악의 계승·발전을 위한 전수 공간 광주서구 국악 국악전수관 문화시설 전수관 전시 한국전통
동곡미술관,문화가 있는 삶 속의 즐거움 광주 광주가볼만한곳 광주광산구 문화시설 문화예술 미술관 예술
광주에너지파크 해담마루,에너지와 기후에 대해 배울 수 있는 공간 가볼만한곳 광주서구 기후 문화시설 아이와함께 에너지 전시관 친환경
시화문화마을 금봉미술관,금봉 박행보 화백의 소장품으로 개관한 공립미술관 가볼만한곳 광주가볼만한곳 문화 문화시설 미술관 시화문화마을 전시
광주광역시 염주종합체육관,광주 서구에 위치한 다목적 실내 체육시설 경기 레포츠 시민문화공간 시민체육공간 염주종합체육관 체육관 체육시설
금당산 맨발로,자연을 느끼며 맨발로 걸을 수 있는 숲길 건강 나들이 레포츠 맨발걷기 맨발산책로 산책 산책하기좋은곳
광주문학관,광주 문학의 역사를 배우고 깊이를 나누며 새로움을 창조하는 곳 가볼만한곳 광주 광주북구 문학관 문화시설 역사문화 전시
광주시립수목원,휴식과 정서 함양의 공간 관광지 광주가볼만한곳 광주남구 나들이 산책 수목원 자연과함께
양림미술관,자발적인 소통과 참여가 가능한 문화예술 공간 광주가볼만한곳 광주남구 문화시설 문화예술여행 미술관 양림동 전시시설
전남대학교 박물관,양질의 교육 자료를 갖춘 전남대학교 부속 박물관 가볼만한곳 광주 데이트장소 문화 문화시설 문화유산자료 박물관
조선대학교 미술관,지역 문화의 예술적 정체성을 학생들에게 교육하고 홍보하는 곳 가볼만한곳 광주 문화시설 문화예술 미술관 전시 지역문화
금남로공원 금남나비정원,빛의 나비들을 테마로 한 야경 명소 공원 공원 관광지 광주동구 미디어아트 산책하기좋은곳 쉬기좋은공원 야경명소
이강하미술관,"이강하 화백의 삶과 예술 세계, 작품을 감상할 수 있는 미술관 가볼만한곳 광주 광주남구 문화시설 문화예술 미술관 예술 전시"
전남대학교 의학박물관 (전남대학교 의과대학 구 본관),전남대학교에서 현존하는 가장 오래된 건축물 광주가볼만한곳 광주박물관 문화시설 전남대학교 전남대학교의학박물관
광주자동차극장,광주 유일의 자동차 전용 영화관 광주가볼만한곳 광주유일자동차극장 데이트명소 문화시설 영화관람 자동차극장
치른시빌,누구나 미술을 즐길 수 있는 아트 문화복합공간 광주 문화시설 문화예술 미술교육 아트프로젝트 예술 페인팅
뜻모아센터,다양한 공예체험이 가능한 곳 가족과함께 공예 관광두레 관광두레_주민사업체 관광지 광주_관광두레
평촌도예공방,무등 분청사기의 맥을 이어가고 있는 도예 공방 공방 광주북구 도예공방 도자기 도자기클래스 쇼핑 이색체험 클래스
휴심정,광주광역시 1호 민간 정원 1호민간정원 관광지 광주 광주가볼만한곳 민간정원 복합문화공간 정원
사직 빛의 숲,은하수가 펼쳐지는 광주 야경 명소 가볼래터 관광지 광주가볼만한곳 광주야간데이트 광주야경 광주야경명소
롯데아울렛 광주수완점,
마한유적체험관,고대 마한문화의 우수성을 알려주는 신창동 유적 체험관 관광지 광주가볼만한곳 광주마한유적체험관 광주마한유적체험관 광주어린이체험
승촌보교,사계절 멋진 풍경을 제공하는 영산강 승촌보 관광지 광주가볼만한곳 광주승천보 승촌보공원 승촌보전망대 영산강문화관
승촌공원,영산강의 우각호 하중도에 조성된 경관좋은 자연공원 관광지 광주근교피크닉 광주승촌공원 광주캠핑장 나주승촌보 나주캠핑
광주비엔날레전시관,볼거리 즐길거리가 많은 다양한 전시회를 구경할 수 있는 공간 광주문화예술 광주북구 광주비엔날레 광주비엔날레전시관 문화시설 역사공원
한희원미술관,"양림동이 선사하는 사랑, 위로, 예술 2022_추석_문화여행 가볼래터 광주 데이트코스 문화시설 미술관 미술작품"
하정웅미술관(광주),시간과 공간을 넘나들며 한국 근현대사의 폭을 한층 확장시킨 하정웅미술관 광주여행 데이트코스 문화 문화시설 실내여행지 아이와함께 연인과함께
사직공원전망타워,광주를 구석구석 즐겨보자 ! 관광지 광주 광주명소 광주사직공원전망타워 광주야경 광주역사문화마을
무등산 리프트모노레일(지산유원지),무등산을 온몸으로 즐길 수 있는 경험 2024_여행가는달과함께하는_발도장여행지 관광지 광주 광주권반려동물여행지
푸른마을 공동체센터,주민복지 향상과 지역민 삶의 질 향상에 앞장서는 센터 공유센터 광주 대관 동구 문화시설 복합문화공간 실내놀이터 장남감도서관
지산유원지,무등산에서의 색다른 스릴을 즐기다 2024_여행가는달과함께하는_발도장여행지 관광지 남녀노소 놀이시설
광주시패밀리랜드 카라반캠핑장,도심 속 자연에서 낭만을 즐기다 광주시캠핑장 도심캠핑장 럭셔리카라반 레포츠 아이랑가기좋은 우치공원내
녹색에너지체험관 (광주전남지역본부),기후위기 해결방안과 에너지 절약을 배울 수 있는 체험관 2024_여행가는달과함께하는_발도장여행지 관광지 광주녹색에너지체험관
승촌보오토캠핑장,다양한 볼거리와 즐길 거리를 갖춘 캠핑장 광주시캠핑장 레포츠 산책로좋은캠핑장 아이들과가볼만한곳 자전거타기좋은캠핑장
김용학가옥,1900년대 초에 지어진 살림집과 정자가 조화로운 전통 한옥 관광지 광주김용학가옥 광주전통한옥 광주한옥 역사 역사공부 역사관광지
양과동정,나라 일을 의논하였던 곳 관광지 광주문화재 양과동정 역사 역사공부 역사관광지 역사문화재
환벽당 ·조대,송강 정철의 전설과 조대 관광지 명승 역사 역사관광지 역사여행 역사유적지 자연 자연유산
학산사,오랜 역사를 느낄 수 있는 학산사 관광지 광주사당 광주서구관광명소 광주학산사 사당 역사 역사공부
너릿재공원,광주 동구 9보 중 한 곳인 너릿재 벚꽃길이 있는 공원 6.25역사 관광지 광주공원 광주순국경찰묘지 너릿재터널 산책길 산책하기
운천저수지,사계절 내내 시민들의 편안한 쉼터가 되어주는 곳 2024_여행가는달과함께하는_발도장여행지 걷기길 걷기여행 관광지 데이트코스
KBC 광주방송,미래를 선도하는 균형잡힌 언론사 KBC광주방송 관광지 광주KBC 광주방송국 방송국 산업관광 산업관광지
휴파크 광산점,바쁜 생활 도심 속 소박한 힐링을 만끽하는 친환경 오토 캠핑장 2024_여행가는달과함께하는_발도장여행지 광산구휴파크 광주오토캠핑장
광주공원,광주 시민들의 아늑한 휴식공간 관광지 광주공원 광주공원포차 광주포차거리 구동공원 남구공원 남녀노소
선교기념비,배유지 선교사와 지역민이 최초로 예배를 드린 성지 관광지 광주선교기념비 역사 역사공부 역사관광지 역사를품은곳 역사문화재
병천사,일제강점기 애국·애족 정신을 기리기 위해 건립한 사당이자 서원 관광지 광주병천사 광주사당 광주서원 사당 서원 역사 역사공부
고원희가옥,광주광역시 문화재자료 고원희가옥 고원희고택 관광지 광주고원희가옥 광주고택 광주광역시문화재자료
충효동 정려비각,덕진 일가족의 충·효·열을 기리다 관광지 기념물 역사 역사공부 역사관광지 역사를품은곳 역사문화재
오남제,고봉 기대승의 부친 기진을 제향하는 재실 관광지 광산구역사유적 광산구역사체험 광주오남재 기대승 역사 역사공부
영사재,오랜 역사를 느낄 수 있는 영사재 관광지 광주영사재 명도동영사재 역사 역사공부 역사관광지 역사를품은곳
