place,태그
사직단,조선의 근본을 상징하는 국왕의 제사터 관광지 문화유적 문화유적돌아보기 서울 서울관광지 서울역사관광 역사관광
5·18민주화운동 기록관,그날의 역사와 의의를 자세히 알 수 있는 곳 5.18 518민주화운동기록관 5·18민주화운동기록관 광주 광주여행 기록관
상무화훼단지,봄을 먼저 맞이하는 곳 광주가볼만한곳 광주꽃구입 광주꽃단지 광주꽃시장 광주나무구입 광주여행
서부농수산물도매시장,생산자와 소비자를 보호하는 호남 최대의 도매시장 농수산물 농수산물검사소 농수산물경매 도매시장 서부농수산물도매시장
산동교친수공원,코스모스와 억새 물결이 일렁이는 공원 관광지 광주가볼만한곳 광주코스모스 산동교 산동교친수공원 유채꽃명소
푸른길분수공원,우리나라 최초의 폐선부지 공원 2022친환경추천여행지 관광지 광주 광주_여행지_추천 광주가볼만한곳
취병조형유허비,일본통신사 행차를 기록한 조형선생을 기리기 위한 비 관광지 광주취병조형유허비 교과서속여행 문화재 역사 역사공부 역사를품은곳
월계동장고분,우리나라 무덤의 발달사와 한일관계의 역사를 보여주는 삼국시대 고분 관광지 광주고분 광주월계동장고분 신라고분 역사 역사공부 역사관광지
신룡동오층석탑,석불입상과 함께 무심히 서있는 신라계 고려 석탑 고려5층탑 고려오층탑 관광지 광주신룡동오층석탑 역사 역사공부 역사관광지
칠송정,초야에 묻힌 선비의 효를 말해주는 조선시대 기효증의 정자 관광지 광산칠송정 광주칠송정 기대승 역사 역사공부 역사관광지
경암근린공원,가족 나들이하기 좋은 도심 공원 경암근린공원 관광지 도심속숲 도심속휴식 무장애나눔길 어린이와가볼만한곳
비아5일시장,규모는 작지만 없는 게 없는 알찬 시장 공설시장 광주오일장 비아5일시장 쇼핑 시장 오일장 정이넘치는시장
유한회사더담희,남도의례음식 이수자의 향토음식 기반 체험프로그램 관광두레 관광두레_주민사업체 관광지 광주 광주_관광두레 남도의례음식
월봉서원·빙월당,성리학자 고봉(高峰) 기대승(奇大升)을 배향하는 곳 관광지 역사 역사공부 역사관광 역사관광지 역사를품은곳 역사문화재
황룡친수공원,황룡강을 바라보고 있는 공원 X-게임장 관광지 광주가볼만한곳 광주코스모스 꽃길따라 선운지구
오리요리의 거리,오리요리를 전문으로 판매하는 광주광역시 음식특화거리 건강식 건강식맛집 건강여행 관광지 광주먹자골목 광주오리요리의거리
광주시민의숲,자연과 함께하는 다양한 체험이 가능한 도심 속 휴식처 관광지 광주산책 광주시민의숲 광주시민의숲야영장 도심속숲길 반려동물산책
금곡동 제철유적,임진왜란 때 김덕령 의병장이 무기 만들던 곳 관광지 광주금곡동제철유적 역사 역사공부 역사관광지 역사를품은곳
중외공원,시민들을 위한 도심 속 휴식 공간 2024_여행가는달과함께하는_발도장여행지 가족여행 걷기여행 관광지
광주호 호수생태원,도심 속 자연 학습의 장 2022친환경추천여행지 2024_여행가는달과함께하는_발도장여행지 가족여행
광주각화농산물도매시장,호남 최대의 농산물 도매시장 광주가볼만한곳 광주각화농산물도매시장 광주광역시 광주농산물시장 광주도매시장
광주 예술의 거리,광주의 예술을 품고 있는 문화거리 2024_여행가는달과함께하는_발도장여행지 가족여행 관광지 광주가볼만한곳
