place,태그
안회당과 여하정,홍주의 지방관이 근무하던 관청 관광지 봄에가기좋은곳 안회당 여하정 역사 역사관광지 친구와함께
수룡항 포구,아름다운 일출을 감상할 수 있는 포구 관광지 사진찍기좋은 수룡항포구 연인과함께 일출명소 작은항구 홍성가볼만한곳
용봉산,기암괴석이 아름다운 충남의 금강산 가족과함께 관광지 봉황의머리 용봉산자연휴양림 자연 자연관광지 자연풍경
김좌진 장군 생가지,청산리전투의 영웅 김좌진 장군이 태어나 자란 곳 가족과함께 관광지 기념물 김좌진장군생가지 백야공원 백야김좌진생가
만해 한용운선생 생가지,만해 한용운 선생의 숨결이 살아 있는 곳 가족여행 관광지 교과서속여행 민족대표 아이와함께 역사 역사관광지
박찬호기념관,과거 박찬호가 살았던 생가에 자리 잡은 기념관 공주데이트코스 공주산책 공주여행 공주포토존 문화시설 박찬호 야구배트
아우내독립만세운동기념공원,역사적인 현장을 생생하게 느낄 수 있는 공원 관광지 기념공원 역사적장소 천안명소 천안여행 충남관광 충남여행
도고아트홀,아이와 함께 가볼 만한 공연 및 전시 체험관 문화시설 아산가볼만한곳 아산데이트코스 아산산책 아산여행 아산코미디홀
서산 해미읍성,"돌담 안의 기억, 역사를 간직하는 곳 2024_여행가는달과함께하는_발도장여행지 23_24한국관광100선 25_26한국관광100선"
계백장군 유적지,"계백장군의 얼을 만난다, 계백장군 유적지 계백장군유적지 관광지 아이와함께 역사 역사공부 역사관광지 역사를품은곳"
개태사(논산),고려 태조왕건이 후삼국 통일을 기념하여 만든 절 개태사 개태사지 관광지 논산개태사 논산사찰 보물 불교 불교문화
논산 노성산성,백제의 수도를 지키던 산성 관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속
이종일선생생가지,독립운동가 이종일을 기리는 생가터와 사당 가족여행 관광지 아이와함께 역사 역사공부 역사관광지 역사를품은곳
역전시장(예산),직접 재배한 신선한 농산물을 살 수 있는 재래시장 가족여행 기차여행 나들이 나홀로여행 먹거리 쇼핑 시장맛집 아이와함께
서동공원과 궁남지,백제의 역사와 자연을 느껴볼 수 있는 인공 조경 19_20한국관광100선 2024_여행가는달과함께하는_발도장여행지 21_22한국관광100선
프린세스GC,정교하게 꾸며진 골프 클럽 골프관광 골프여행 골프장 골프클럽 국내골프장 레포츠 프린세스GC
파인스톤CC,석양과 노을이 매력적인 골프장 골프관광 골프여행 골프장 골프클럽 국내골프장 레포츠 파인스톤CC
봉수산자연휴양림&수목원,마을사람들의 수호신 역할을 해온 미륵불상 가족여행 걷기길 관광지 나들이 문화재 봉수산 봉수산자연휴양림
로얄링스CC,바다를 담은 골프장 36홀골프장 골프관광 골프여행 골프장 국내골프장 레포츠 로얄링스cc
솔라고CC,호수 위로 떠오른 태양과 그 아래 자리한 골프장 36홀골프장 골프관광 골프여행 골프장 국내골프장 레포츠 솔라고CC
엠엘피서프,서퍼들의 핫플레이스 레포츠 만리포서핑 서해안서핑 엠엘비서프 태안레포츠 태안서핑 태안여행
우정힐스CC,아름다운 조경미를 가진 골프장 골프 골프관광 골프여행 골프장 국내골프장 레포츠 우정힐스CC
결성동헌,조선시대 결성 현감이 업무를 다루던 곳 결성동헌 관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재
성삼문선생유허지,조선 전기 사육신의 한 사람인 성삼문 관련 집터 관광지 성삼문 역사 충청남도기념물 홍성가볼만한곳
장곡사(청양),통일신라시대 창건된 사찰 관광지 불교사찰 사찰 사찰여행 역사 자연좋은곳 자연환경 충청권
목재문화·자연사체험관,목재와 자연 생물과 환경에 대해 배워보자 ! 가족과함께 곤충조립체험 교육여행 목재문화 문화시설 아이와함께 이색체험
화암사(예산),추사 김정희 선생의 발자취를 느낄 수 있는 곳 관광지 나홀로여행 불교 불교문화 사찰&산사 사찰여행 역사 예산가볼만한곳
덕산향교,조선시대 지방민의 교화를 위해 세운 교육기관 가족과함께 관광지 교육기관 역사 역사관광지 예산가볼만한곳 예산덕산향교
석장리박물관,선사인들의 숨결이 느껴지는 박물관 겨울방학가볼만한곳 교과서속여행 문화시설 박물관 석장리박물관 아이와함께
공주 공산성 [유네스코 세계유산],"백제 고도의 역사를 담은 공주의 상징, 공산성 2024_여행가는달과함께하는_발도장여행지 21_22한국관광100선 23_24한국관광100선"
웅진 백제 문화 역사관,웅진백제의 정수를 느낄 수 있는 곳 무령왕릉 문화시설 백제 백제역사유적지구 송산리고분군 역사관 웅진백제
마곡사 [유네스코 세계유산],전쟁의 위험도 피해간 천년고찰 공주문화재 공주사찰 관광지 교과서속여행 기차여행 나들이 마곡사
아산 맹씨 행단(맹사성 고택),조선 전기의 청백리 맹사성의 가족이 살던 집 고택 관광지 맹사성고택 사적 역사 역사공부 역사를품은곳 역사속
대흥향교,거대한 은행나무 아래 보존된 향교 가족과함께 관광지 역사 역사관광지 예산가볼만한곳 예산대흥향교 예산대흥향교은행나무
서산 용현리 마애여래삼존상,백제의 미소가 담겨있는 불상 관광지 국보 백제유적 백제의미소 서산마애삼존불 서산마애삼존불상
서산 보원사지,천년이 넘는 세월과 유적을 품은 절터 가야산 관광지 내포가야산 보원사 보원사지 사적 서산아라메길 역사
팔봉산(서산),태안반도에 우뚝 솟은 8개의 봉우리 가족여행 관광지 등산 등산로 사계절 서산8봉산 서산산 서산아라메길
계룡 사계고택,전통문화 체험이 열리는 사계 김장생 선생의 고택 계룡사계고택 관광지 사계고택 역사 역사공부 역사관광지 역사를품은곳
당진 필경사,상록수를 쓴 심훈 작가의 문학 산실 고택 관광지 문화관광해설사 소설가심훈 소설상록수 심훈기념관 심훈선생기념사업회
합덕수리민속박물관,전통 수리농경문화를 체험할 수 있는 박물관 교과서속여행 당진농촌체험 당진박물관 문화관광해설사 문화시설 민속박물관
기지시줄다리기박물관,기지시줄다리기의 역사를 더듬는 곳 기지시줄다리기박물관 당진가볼만한곳 문화시설 박물관 방문하기좋은곳
정림사지와 사비길,유구한 백제 역사를 직접 느낄 수 있는 곳 관광지 부여가볼만한곳 부여역사관광지 부여정림사지 사비길 역사관광
한산모시관,한산모시의 전통을 알아보자 ! UNESCO인류무형문화유산 문화시설 서천가볼만한곳 서천여행 서천한산모시
월남 이상재선생 생가,중부지방 전통적 농가 분위기를 간직하고 있는 곳 관광지 역사 역사공부 역사관광 역사관광지 역사를품은곳 역사문화
서천 동백정,서해안 동백나무숲 속의 정자 가족여행 경치좋은곳 관광지 동백나무숲 동백정 마량리동백나무숲 명소
서천 성북리 오층석탑,고려시대에 세워진 백제 석탑 관광지 백제계고려석탑 성북리오층석탑 역사 역사공부 역사관광지 역사를품은곳
천안시립미술관,경계를 넘어 동시대 미술 문화를 주도하는 플랫폼으로서의 미술관 문화시설 미술관 천안데이트코스 천안미술관 천안산책 천안여행 천안포토존
덕바위 사계절 썰매장,사계절 썰매를 즐기다 논산가볼만한곳 논산눈썰매 덕바위농촌체험휴양마을 덕바위사계절썰매장
마정 낚시터,토종붕어와 다양한 어종을 낚을 수 있는 곳 레포츠 마정낚시터 마정지 메기 방갈로 철갑상어 토종붕어낚시터
오목 낚시터,토종붕어를 낚을 수 있는 곳 낚시명소 레포츠 신창역낚시터 아산 낚시터 아산붕어 아산토종붕어
금산산림문화타운,수려한 자연과 맑은 공기가 좋은 휴양림 가볼래터 가족여행 관광지 나들이 남이자연휴양림 데이트코스 아이와함께
도고CC,오랜 전통과 함께하는 골프장 골프 골프관광 골프여행 골프장 국내골프장 도고CC 레포츠
금학생태공원,"생태관찰시설, 산책로, 야외 공연장을 갖춘 휴식공간 공주공원 공주데이트코스 공주산책 공주여행 공주포토존 관광지"
서산수골프앤리조트,동양의 신비스러움이 느껴지는 한국의 페블비치CC 골프 골프관광 골프여행 골프장 국내골프장 레포츠 서산수골프앤리조트
대동 낚시터,어자원이 풍부한 1급수 낚시터 낚시명소 낚시터 대동낚시터 레포츠 아산낚시터 아산붕어낚시 아산참붕어
국립 용현자연휴양림,자연과 백제 문화유적이 살아 숨쉬는 휴양림 가족여행 걷기길 관광지 국립용현자연휴양림 나들이 서산가야산휴양림
안면도 라암도 해상낚시공원,안면도 푸른 바다 위에서 즐기는 이색적인 낚시체험 레포츠 안면도라암도해상낚시공원 안면도라암도해상낚시공원가족여행 안면도라암도해상낚시공원배낚시
정석볼링365 & 정석락볼링장,천안 불당동 먹자골목에서 즐길 수 있는 볼링장 레포츠 불당동락볼링장 불당동먹자골목 정석365볼링장 정석볼링365앤정석락볼링장
해바라기올래정원,예쁜 사진도 남기고 다양한 꽃을 감상할 수 있는 체험 카페 관광지 반려동물 반려동물동반여행지 올래정원 충남권반려동물여행지
온양민속박물관,우리 전통문화의 아름다움과 우수성을 배울 수 있는 온양민속박물관 기차여행 문화시설 박물관 아이와함께 온양민속박물관 전시관 전통&역사문화체험
블루오션리조트,물놀이와 갯벌체험이 가능한 리조트 갯벌체험 관광지 레포츠 바다물놀이 액티비티 여름물놀이 일몰명소
천안 상록골프장,1997년 개장하여 지금까지 운영 중인 골프장 골프관광 국내CC추천 국내골프장 라운딩 레포츠 천안CC 천안골프장
덕송지 수상 풍차 낚시터,휴양지 같은 낚시터 낚시여행 덕송지수상낚시터 레포츠 서산낚시터 서산여행 선상풍차낚시터
피나클랜드 수목원,아산만이 한눈에 내려다 보이는 피나클랜드 2024_여행가는달과함께하는_발도장여행지 가족여행 걷기길 관광지 데이트코스
현충사,충무공 이순신 장군의 애국정신을 기리는 사당 25_26한국관광100선 가족여행 관광지 교과서속여행 문화유적 문화재
천안 중앙시장,다양한 명물을 만나볼 수 있는 전통시장 가족여행 기차여행 나들이 나홀로여행 데이트코스 먹거리 쇼핑 시장맛집
서천 이하복 고택,150년 전 지어진 전통 초가집 관람 및 체험 고택 관광지 민속문화재 서천초가 역사 역사공부 역사를품은곳 역사문화재
창강서원,황신(黃愼)의 학문과 덕행을 추모하다 관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속
보령중앙시장,90년 넘는 역사와 전통을 자랑하는 시장 보령먹거리 보령볼거리 보령산책 보령시장 보령여행 보령중앙시장 쇼핑
대천항수산시장,보령 어민들이 직접 잡아 올린 각종 해산물을 구입할 수 있는 상설시장 보령먹거리 보령볼거리 보령산책 보령수산시장 보령시장 보령여행 쇼핑
아산 외암마을 참판댁,고종황제로부터 하사 받아 지은 집 관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속
금강생태과학체험장,"자연과 생태, 문화를 배우는 체험교육공간 금산 금산과학체험장 금산오토캠핑장 닥실마을체험장 문화시설 생태과학"
강경역사관,역사관으로 변신한 옛 은행 건물 강경역사관 건축물 건축사 건축여행 관광지 구한일은행강경지점 국가등록문화재
석련사(홍성),남북국시대 통일신라의 무염이 창건한 것으로 전해지는 암자 관광지 불교 불교문화 사찰 사찰여행 역사 자연속으로 자연환경
광천생활체육공원,홍성군민의 생활체육 저변확대를 위한 체육공원 게이트볼장 공원운동 관광지 국궁동호회 생활체육 정구장 홍성광천생활체육공원
레인보우 서프,오렌지빛 태양과 서퍼들이 바다를 물들인 서핑장 레인보우서프카페 레포츠 만리포해수욕장 서핑 서해바다서핑 태안레인보우서프
천년 미소길,"해미읍성, 용현계곡, 보원사지를 따라 걷는 트레킹코스 개심사 레포츠 마애여래삼존상 보원사지 서산아라메길 서산아라메길1코스"
고남 저수지,서산시내 근처에 위치한 벚꽃과 낚시 명소 관광지 서산드라이브 서산벚꽃 서산시벚꽃 서산시저수지 서산저수지
서산 동문동 성당,백여년 역사를 가지고 내포지역을 지켜온 성당 관광지 국가등록문화재 근대문화유산 등록문화재 서산성당 서산시성당
아이러브팜핑,차령고개 아래 농촌 마을에 위치한 복합 캠핑장 공주캠핑장 관광지 세종캠핑장 아산캠핑장 아이러브벅스 천안캠핑장
이인 벽화 마을,레트로 감성을 물씬 느낄 수 있는 아름다운 벽화마을 공주가볼만한곳 공주시벽화마을 관광지 벽화 벽화마을 산책하기좋은곳
석장리 계절별 꽃단지,구석기유적과 함께 보는 금강변 꽃밭 공주계절별꽃단지 공주석장리유적 관광지 석장리계절꽃단지 석장리계절꽃단지
공주 경비행기,짜릿한 비행기 조종 체험을 경험해 볼 수 있는 곳 경비행기 경비행기체험 공주익스트림 공주익스트림체험 레포츠 익스트림
용현계곡,가야산 깊은 계곡에서 즐기는 휴식과 물놀이 가야산 관광지 국립용현자연휴양림 서산가야산 서산계곡 서산시계곡
합덕재래시장,100년 이상의 역사를 가지고 있는 전통시장 당진시장 당진재래시장 당진합덕재래시장 쇼핑 합덕5일장 합덕시장
백호레져체험장,서바이벌과 사륜바이크를 즐길 수 있는 레저 타운 ATV 레져체험장 레포츠 백호레저체험장 백호서바이벌 서바이벌 태안백호레져체험장
의항리 해상낚시공원,낚시와 갯벌 체험이 가능한 바다 위 펜션 낚시공원펜션 레포츠 바다위펜션 의항리어촌계 태배전망대 태안해상낚시공원
덕산싸이판대온천,유서 깊은 덕산온천수를 자랑하는 곳 관광지 덕산싸이판온천 덕산온천 예산군목욕탕 예산군온천 예산목욕탕
쌀조개섬,아산호에서 즐기는 낚시와 자전거 관광지 아산낚시 아산낚시터 아산시낚시 아산시낚시터 아산쌀조개섬
배방산,"일출, 일몰 명소이자 아산의 풍경을 한눈에 담을 수 있는 곳 관광지 배방산성 아산등산 아산시등산 아산시해돋이 아산해돋이 윤정사"
세재골농원,자연 속 힐링 명소 레포츠 새재골농원 세제골농원 아산농장 아산농촌체험 아산물놀이 아산세재골농원
지산체육공원,시민들의 체력 증진을 위한 곳이자 억새가 아름다운 곳 관광지 아산 아산공원 아산시공원 아산시체육공원 아산체육공원 지산공원
